Business Legal Name,Assumed Name(s),Street,City,Borough,Postcode,License Type,License Status,License Issue Date,License Expiration Date,Latitude,Longitude,Council District,Community Board,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location
"TERROIR TRIBECA, LLC",TERROIR TRIBECA,24 HARRISON STREET,NEW YORK,Manhattan,10013,Sidewalk,Issued,02/13/2026 03:37:42 PM,02/13/2030 11:59:59 PM,40.718766008443,-74.010032397316,1,101,1002082,1001810041,39,MN0102,POINT (-74.010032397316 40.718766008443)
"AMITY STREET, INC.",AMITY HALL,80 WEST    3 STREET,NEW YORK,Manhattan,10012,Roadway,Issued,07/18/2025 02:48:40 PM,07/18/2029 11:59:59 PM,40.729756486478,-73.998784078515,2,102,1008675,1005390020,65,MN0202,POINT (-73.998784078515 40.729756486478)
THE CRYSTAL ROOM LP,BLUE RIBBON BRASSERIE,97 SULLIVAN STREET,NEW YORK,Manhattan,10012,Roadway,Issued,07/18/2025 02:55:29 PM,07/18/2029 11:59:59 PM,40.725524021007,-74.003135217816,1,102,1007775,1005030001,49,MN0201,POINT (-74.003135217816 40.725524021007)
DMDD LLC,WALTER'S / KARASU,166 DEKALB AVENUE,BROOKLYN,Brooklyn,11217,Roadway,Issued,08/15/2025 04:10:23 PM,08/15/2029 11:59:59 PM,40.68961112153,-73.973273106546,35,302,3058963,3021010040,181,BK0203,POINT (-73.973273106546 40.68961112153)
SAMPA RESTAURANT LLC,BECO,45 RICHARDSON STREET,BROOKLYN,Brooklyn,11211,Roadway,Issued,05/16/2025 03:57:28 PM,05/16/2029 11:59:59 PM,40.718250765872,-73.950588749846,33,301,3322738,3027210033,515,BK0102,POINT (-73.950588749846 40.718250765872)
"QUALITY ROCKETS, INC.",HOTEL DELMANO,82 BERRY STREET,BROOKLYN,Brooklyn,11249,Roadway,Issued,11/21/2025 01:20:29 PM,11/21/2029 11:59:59 PM,40.719656265957,-73.957918199134,33,301,3061752,3023100023,557,BK0102,POINT (-73.957918199134 40.719656265957)
"1465 CDM, INC",THE GRAFTON PUBLIC HOUSE,126 1 AVENUE,NEW YORK,Manhattan,10009,Roadway,Issued,01/09/2026 01:38:50 PM,01/09/2030 11:59:59 PM,40.727304498751,-73.985485247847,2,103,1005817,1004350006,32,MN0303,POINT (-73.985485247847 40.727304498751)
415 THIRD AVENUE RESTAURANT GROUP LLC,FUMO,415 3 AVENUE,NEW YORK,Manhattan,10016,Sidewalk,Issued,02/06/2026 11:15:47 AM,02/06/2030 11:59:59 PM,40.742668922543,-73.980335770722,2,106,1019914,1009100001,7002,MN0603,POINT (-73.980335770722 40.742668922543)
BOLIVIAN LLAMA PARTY LLC,BOLIVIAN LLAMA PARTY,44-14 48 AVENUE,WOODSIDE,Queens,11377,Roadway,Issued,06/27/2025 07:51:03 PM,06/27/2029 11:59:59 PM,40.739481503076,-73.921090639282,26,402,4446397,4022880032,18501,QN0202,POINT (-73.921090639282 40.739481503076)
MAMAN NOMAD LLC,MAMAN,22 WEST   25 STREET,NEW YORK,Manhattan,10010,Roadway,Issued,02/13/2026 03:58:08 PM,02/13/2030 11:59:59 PM,40.743359104168,-73.98996388512,3,105,1015606,1008260056,58,MN0501,POINT (-73.98996388512 40.743359104168)
